,Nazwa,Pikinier,Halabardnik,Łucznik,Kusznik,Gryf,Gryf królewski,Zbrojny,Krzyżowiec,Mnich,Kapłan,Kawalerzysta,Czempion,Anioł,Archanioł,Centaur,Centaur bojowy,Krasnolud,Krasnoludzki wojownik,Leśny elf,Wysoki elf,Pegaz,Srebrny pegaz,Drzewiec,Ent,Jednorożec,Jednorożec bitewny,Zielony smok,Złoty smok,Gremlin,Większy gremlin,Kamienny gargulec,Obsydianowy gargulec,Kamienny golem,Żelazny golem,Mag,Arcymag,Dżinn,Wielki dżinn,Naga,Królewska naga,Gigant,Tytan,Chochlik,Chowaniec,Gog,Magog,Piekielny ogar,Cerber,Demon,Rogaty demon,Czart,Czarci lord,Ifryt,Sułtański ifryt,Diabeł,Arcydiabeł,Szkielet,Kościej,Ożywieniec,Zombie,Zjawa,Upiór,Wampir,Wampirzy lord,Lisz,Arcylisz,Czarny rycerz,Upiorny rycerz,Kościany smok,Upiorny smok,Troglodyta,Piekielny troglodyta,Harpia,Harpia wiedźma,Złe oko,Obserwator,Meduza,Meduza królewska,Minotaur,Wielki minotaur,Mantikora,Chimera,Czerwony smok,Czarny smok,Goblin,Hobgoblin,Wilczy jeździec,Wilczy rycerz,Ork,Uruk,Ogr,Ogr szaman,Rok,Ptak gromu,Cyklop,Cyklop królewski,Behemot,Starożytny behemot,Gnoll,Gnoll maruder,Jaszczuroczłek,Reptilion,Ważka,Smocza ważka,Bazyliszek,Bazyliszek większy,Gorgona,Wielka gorgona,Wiwerna,Wiwerna królewska,Hydra,Hydra chaosu,Nimfa,Rusałka,Żywiołak powietrza,Żywiołak burzy,Żywiołak wody,Żywiołak lodu,Żywiołak ognia,Żywiołak energii,Żywiołak ziemi,Żywiołak magmy,Żywiołak umysłu,Żywiołak magii,Ognisty ptak,Feniks,Chłop,Niziołek,Rozbójnik,Knurzy jeździec,Mumia,Nomad,Strzelec,Troll,Złoty golem,Diamentowy golem,Czarodziej,Czarodziejski smok,Rdzawy smok,Kryształowy smok,Błękitny smok
0,Pikinier,1,1.1867905057,1.575,2.61875,2.7293934681,2.8264984227,4.6354166667,6.2887700535,8.59875,10.1375,14.7424242424,16.228748068,39.1803278689,64.3401759531,1.0080645161,1.1509591326,1.82125,1.9209558824,3.015,4.6975,3.837037037,3.9407407407,6.90625,7.6915708812,13.7442922374,15.1718983558,32.9189189189,53.5301429459,0.5207100592,0.88875,1.5096065874,1.5629860031,2.9239766082,3.3798195242,7.3025,7.9532163743,7.2697368421,7.2517321016,21.1764705882,26.0550458716,31.3226621735,87.4125874126,0.5336179296,0.5555555556,1.9875,2.1818181818,2.7695888286,3.9635995956,4.6596858639,4.9433573635,8.0952380952,8.1059602649,13.588283157,15.0980392157,41.1370967742,60.2966101695,0.7775,0.8415841584,1.36875,1.6,2.1176470588,2.1140939597,5.3365384615,10.06125,9.6363636364,10.898989899,17.611814346,19.85,25.6666666667,34.053662074,0.6820809249,0.8007626311,1.3987284287,1.9866444074,4.0287769784,4.1799544419,5.9085714286,6.4686098655,8.8266384778,9.4014084507,11.7732115677,12.1390374332,34.0477914555,54.2013673089,0.5958291956,0.619047619,1.3457556936,1.8125,2.3443223443,2.8169014085,5.23125,6.5179437439,8.3563873068,8.7086614173,17.0125,18.0149812734,29.2777777778,43.4978843441,0.8575,0.9100101112,1.7325,2.51125,2.1262458472,2.2164502165,4.81255449,5.3204172876,9.1847265222,10,10.6719367589,12.3515052889,38.7218045113,49.3838467943,0.4549214227,0.7313317937,2.9915966387,4.1467576792,3.2307692308,4.2505592841,3.5420944559,3.6833855799,4.2075,5.1308900524,14.9686098655,17.8844444444,26.4360465116,31.7028301887,0.1805054152,1.08875,1.3300492611,1.45,2.7,2.865448505,7.1167883212,6.5222929936,6.1475409836,8.1151832461,13.9884393064,42.9385964912,118.268456376,158.620967742,203.523489933
1,Halabardnik,0.8426086957,1,1.0543933054,2.2382608696,2.389380531,2.473771397,3.9408695652,5.48,6.3260869565,8.6817391304,12.8110599078,14.0750670241,33.981042654,54.2063001853,0.8695652174,0.9920920201,1.5817391304,1.6443745083,2.5817391304,4.0330434783,3.3702016916,3.4545454546,5.9408695652,6.4915117219,12.0079787234,13.2075471698,28.6083382267,45.5955532028,0.4243478261,0.6886956522,1.3231756215,1.3710777626,2.5234782609,2.9055007052,6.0713043478,6.8347826087,6.3826714801,6.3777928233,17.5304347826,22.7564102564,27.459379616,74.387826087,0.4347826087,0.479616307,1.3216957606,1.8590240124,2.4351978172,3.4930434783,3.9652173913,4.3295652174,7.0991304348,7.0874348581,11.8607954545,13.2568149211,35.4236111111,51.0768126346,0.632173913,0.7042253521,1.1686956522,1.3582608696,1.8051575931,1.8573113208,4.6560402685,8.0852173913,8.2852173913,9.3826086957,15.3230543319,17.0997846375,22.3630363036,29.1677018634,0.5513043478,0.6557377049,1.2116443745,1.7246376812,3.2495652174,3.5913043478,5.2826086957,5.9347826087,7.7365217391,8.2153846154,10.2722443559,10.6004002668,29.6095717884,46.2407211029,0.4914004914,0.5335157319,1.167826087,1.5822291504,1.6298811545,2.1913043478,4.387826087,5.5860349127,7.3044096728,7.5443383356,14.6373913043,15.487826087,25.43845535,37.4954407295,0.7008695652,0.7640067912,1.2008695652,2.0504347826,1.8645302258,1.9364599092,4.0979955457,4.6363636364,7.8591304348,8.6751054852,9.3103448276,10.7279151943,29.2613636364,42.6383896477,0.3968253968,0.635451505,2.6215022091,3.5735294118,2.772173913,3.6643478261,3.1017391304,3.2235939643,3.5817391304,4.4834782609,12.9883268482,15.5486862442,22.9994941831,27.5563755638,0.1495652174,0.8147826087,1.1460101868,1.2543252595,2.3255813954,2.5,5.572173913,5.7495788883,5.2565217391,6.927826087,11.9347826087,36.9224967,98.8888888889,142.0657277,182.553831906
2,Łucznik,0.6349206349,0.9484126984,1,1.5603174603,2.9944444444,3.0917874396,3.8246031746,5.3515873016,4.8444444444,5.0916496945,15.6603174603,17.0301587302,40.703968254,77.5666666667,1.0317460318,1.1944444444,1.0368144252,1.696031746,1.8849206349,2.7079365079,4.0883977901,5.0142857143,3.5290102389,4.8112642301,14.5119047619,16.2357142857,34.1894736842,65.3490136571,0.2586713698,0.5019011407,1.4888888889,1.7420634921,1.6744809109,3.0405904059,3.7873754153,4.2740414833,7.3666666667,7.365129007,15.2843062926,25.1444444444,31.3523809524,52.4842547236,0.3837298542,0.5611111111,1.2619047619,1.4277215943,3.0007936508,4.1015873016,3.7634920635,4.6420634921,6.9341269841,8.2424242424,14.2063492063,19.7420634921,40.9888888889,73.5841269841,0.4140786749,0.6434519304,0.7429871114,1.1682539683,1.7487855656,2.2909090909,4.4682539683,11.7682539683,5.3569172457,6.4804804805,18.8920634921,20.9126984127,26.5725490196,43.1507936508,0.3286908078,0.5944798301,1.3293650794,2.0825396825,2.3398328691,2.4697173621,3.1698344574,3.8543754175,7.5373015873,9.5880952381,12.4301587302,12.796031746,35.3268219384,66.4204112719,0.44411547,0.6341269841,1.3857142857,1.7611111111,1.5238095238,1.9452380952,3.0014430014,5.4992063492,8.8380952381,9.1611111111,10.6825396825,11.1773818745,30.2103174603,46.3063063063,0.4444444444,0.6721433906,1.25,1.7412698413,2.3555555556,2.8253968254,3.8791286016,5.6920634921,7.7904761905,10.7547619048,11.2666666667,12.7253968254,28.1228668942,51.4111111111,0.4365079365,0.622134905,3.2492063492,2.8980322004,2.8190476191,3.1603174603,3.4563492064,4.0452380952,2.8158730159,4.7992063492,14.9420634921,17.4277777778,32.973168963,39.5585638611,0.0560328726,0.5882352941,1.1246031746,1.3888888889,2.4404761905,3.2,4.8746031746,6.5725288832,5.2087301587,6.6404761905,6.4602242392,53.5411539513,140.825785828,203.507501293,260.730820106
3,Kusznik,0.3818615752,0.4467754468,0.6408952187,1,1.9076086957,2.7005434783,1.8689626208,2.6630434783,2.7630434783,3.6927621861,13.5836956522,14.6766304348,34.9489130435,77.5048913043,0.625,1.0217391304,0.6615532119,0.88,1.2717391304,2.0005434783,3.5190217391,5.0141304348,2.1878967414,3.0301886793,12.4989130435,14.1358695652,29.2907608696,65.3875,0.1529370872,0.2967625899,0.8967391304,1.5385869565,1.0683760684,1.6214088941,2.1747424647,3.0658250676,6.1554347826,6.1586956522,6.6932270916,20.3538043478,26.2054347826,36.8731563422,0.1714677641,0.4706521739,0.8242612753,0.9280742459,2.6190217391,3.4309782609,1.8001618123,2.6086956522,3.1848459617,6.9217391304,12.1673913043,19.7413043478,34.1331521739,73.5902173913,0.2377179081,0.2909962342,0.4684512428,0.7125,0.8456375839,1.9788043478,2.5135869565,8.8565217391,3.1784107946,4.6913043478,16.4369565217,18.1239130435,22.6706521739,43.3869565217,0.1937602627,0.2666666667,0.7277882798,1.7543478261,1.4255409419,1.7492850334,1.8431372549,2.6407322655,3.4263438654,8.0902173913,10.7059782609,11.0375,30.3461956522,66.5027173913,0.2019522046,0.5358695652,0.7065217391,1.4309782609,0.9937888199,1.1701608971,1.7464315701,2.7417380661,7.6043478261,7.8413043478,6.8804347826,8.05,17.1847826087,41.0108695652,0.2516853933,0.2964426877,0.8201086957,1.0407608696,2.0695652174,2.8255434783,1.8542156533,4.947826087,3.8796861378,5.5869565217,9.697826087,10.7760869565,12.4021673691,44.1195652174,0.3597826087,0.4747626187,2.8173913044,2.0672054445,1.4496088357,2.0652173913,1.875,3.552173913,1.7322834646,2.6630434783,12.4152173913,14.2483695652,32.9744565217,39.552173913,0.0313479624,0.3260869565,0.5643812709,0.7880434783,1.2869399428,2.8407608696,3.6755434783,5.4730090861,2.6121027427,3.2264779351,4.7395221308,53.5851122058,140.675891432,203.612836439,260.730820106
4,Gryf,0.3663817664,0.4185185185,0.3339517625,0.5242165242,1,1.0528789659,1.6555555556,2.2404558405,1.5324786325,2.9113960114,5.5111866327,6.0572649573,14.6116809117,23.1617841119,0.3632478632,0.4213675214,0.6854700855,0.6937321937,0.7834757835,1.154985755,1.4313346228,1.4700193424,2.5680911681,2.8022792023,5.152991453,5.675146771,12.2906155399,19.5839017735,0.1857549858,0.1653306613,0.5538461538,0.5829059829,1.0948717949,1.2304843305,1.5655039824,2.3455840456,2.7150997151,2.7170940171,6.8564102564,9.8353276353,11.784045584,26.8427350427,0.1834757835,0.2068376068,0.4226475279,0.575815739,1.0182336182,1.4968660969,1.6615384615,1.815954416,2.949002849,3.0162641695,5.0997150997,5.6515669516,15.2592592593,21.9176638177,0.2774928775,0.2945868946,0.5096866097,0.59002849,0.7538461538,0.7869098176,1.9168091168,3.6874643875,2.415954416,3.0181818182,6.6145299145,7.464957265,9.625,12.7435549525,0.2435897436,0.2780626781,0.5065527066,0.7376068376,0.9531914894,1.2623931624,1.4094874591,1.8082621083,3.2113960114,3.5225071225,4.4207977208,4.5618233618,12.6841111411,19.9291590494,0.2085470085,0.2290598291,0.4769230769,0.6555555556,0.5059288538,0.575815739,1.9034188034,2.350997151,3.1267806268,3.268945869,3.9675213675,5.0871794872,11.0353276353,16.9917355372,0.3068376068,0.3188034188,0.4048433048,0.5333333333,0.8,0.8202279202,1.7202279202,1.9849874896,3.2962962963,3.7982905983,3.9931623932,4.5951566952,12.4438746439,18.3760683761,0.1703703704,0.2720797721,1.1156695157,1.1879736006,1.1675213675,1.0826210826,1.307977208,1.3891737892,1.5527065527,1.8846153846,5.6094017094,6.7082621083,9.8783402129,11.9357130172,0.0672364672,0.1878757515,0.4615384615,0.5239316239,0.9809116809,1.068945869,1.707977208,2.4375148774,2.2245014245,2.9253561254,3.9561253561,16.0242245683,43.3469990161,64.978526594,83.7796195941
5,Gryf królewski,0.3537946429,0.4042410714,0.3234375,0.3702958342,0.9497767857,1,1.5950892857,2.0136160714,1.4647321429,2.0479910714,5.1040178571,5.7419642857,14.1087053571,22.2825892857,0.3392857143,0.3868303571,0.6602678571,0.66875,0.5450892857,0.6254724112,1.3078125,1.4102678571,2.4736607143,2.6995535714,4.7683035714,5.3810267857,11.8946428571,18.9047410009,0.1790178571,0.1600446429,0.5267857143,0.5549107143,1.0669642857,1.1841517857,1.4962053571,1.7073660714,2.4477678571,2.6151785714,6.6515625,7.9042410714,10.6332589286,26.0008928571,0.178125,0.1859375,0.4095982143,0.4150812868,0.9363839286,1.2383928571,1.6013392857,1.7207589286,2.7424107143,2.7424107143,4.8459821429,5.4654017857,14.8020089286,21.0926339286,0.2678571429,0.2845982143,0.4921875,0.5705357143,0.7287946429,0.7292410714,1.6555803571,3.3861607143,1.66437684,1.9714964371,6.1575892857,7.078125,9.075,12.3165178571,0.2354910714,0.2680803571,0.4814732143,0.6640625,0.9066964286,0.9522321429,1.3578125,1.5375,3.0051339286,3.2033482143,4.0790178571,4.4111607143,12.2995535714,19.2601590106,0.2013392857,0.2080357143,0.4441964286,0.5441964286,0.4899553571,0.5555803571,1.8223214286,2.2544642857,2.8939732143,3.1785714286,3.2319196429,3.4145089286,10.3830357143,16.4354910714,0.2959821429,0.3073660714,0.3910714286,0.5136160714,0.7676339286,0.8033482143,1.6633928571,1.8450892857,3.184375,3.6140625,3.6816964286,4.4683035714,12.0125,15.7212053571,0.1486607143,0.2357142857,1.0359375,0.8385093168,1.1401785714,0.9091517857,1.2321428571,1.2850446429,1.4915178571,1.7839285714,4.6566964286,6.2875,9.5665895224,11.5540656696,0.0649553571,0.1832589286,0.4330357143,0.4973214286,0.9493303571,0.9964285714,1.2742321934,2.1671957672,2.1466517857,2.8216517857,3.6462053571,15.4892809113,41.9172216936,64.2987904544,83.0821917808
6,Zbrojny,0.2157303371,0.2537511033,0.2614650342,0.5350561798,0.6040268456,0.6269241534,1,1.3665168539,1.6348314607,2.0220224719,3.2341698521,3.566576087,8.6683937824,13.7210756723,0.2237637055,0.2519167579,0.4047191011,0.4175824176,0.6029213483,0.9202247191,0.8407726019,0.8794842123,1.5334831461,1.6736140058,3.0312185297,3.3366206443,7.2748992086,11.6533621973,0.1098876404,0.162247191,0.3343465046,0.345895715,0.6617977528,0.7444886158,1.2808988764,1.5934831461,1.5813953488,1.5829272391,4.5303370787,5.8089588873,7.0071617037,18.5029213483,0.1123595506,0.123253903,0.3266228431,0.4449388209,0.5970898144,0.8703374778,1.0058426966,1.097752809,1.7671910112,1.7657241777,3.0237189933,3.3648943918,9.0123674912,12.9552075747,0.1640449438,0.1797800338,0.3013483146,0.3503370787,0.4553668233,0.4676365796,1.173857868,2.0397752809,1.9107865169,2.171900161,3.889303019,4.4160177976,5.6931608133,7.5063938619,0.1435955056,0.1692524683,0.3076923077,0.4389524161,0.7368421053,0.8521348315,1.1617977528,1.422247191,1.9465168539,2.0701686373,2.5995630986,2.6923076923,7.5328420378,11.8443569197,0.1269035533,0.1364590623,0.2928089888,0.3924221922,0.3944124897,0.5136986301,1.086741573,1.3728294178,1.8303332739,1.9208058354,3.4534831461,3.7033707865,6.8769030013,10.6620570441,0.1804494382,0.1949740035,0.3,0.4993258427,0.4799400075,0.4975704568,1.0286992173,1.1562753036,1.9821826281,2.3647191011,2.33928262,2.7020291919,7.4074074074,10.8269441402,0.1014385835,0.1626990923,0.6613412595,0.8481675393,0.7164044944,0.8885393258,0.7707774799,0.7916456123,0.9186516854,1.1249438202,3.2977672397,3.9536254667,5.8497362666,7.1031494399,0.0393258427,0.202247191,0.2868068834,0.3172866521,0.5902929602,0.6297918949,1.2634989201,1.405435081,1.3239187997,1.7396184063,2.8719101124,9.4740407413,26.1454005935,40.8197571858,53.0907009629
7,Krzyżowiec,0.1590136054,0.1824817518,0.1868604479,0.3755102041,0.4463377416,0.4966190001,0.7317875349,1,0.8464285714,1.5743197279,2.6152398871,2.8937577511,7.0412457913,10.8802380362,0.1741496599,0.205204461,0.2977891156,0.3017179154,0.3979591837,0.7386054422,0.6745670009,0.6992639327,1.1482993197,1.2503892868,2.4665391969,2.6944518184,5.9313367422,9.2682664371,0.0816326531,0.0945152513,0.252293578,0.2741781476,0.4835034014,0.5377888004,0.8038358483,1.2358843537,1.3073055309,1.3047091413,2.6959079968,4.2464114833,5.7975986278,14.3192176871,0.0800384184,0.1014370245,0.2338923213,0.2968460111,0.4761904762,0.6112583814,0.7207644963,0.8571428571,1.3010204082,1.4562760262,2.4696835256,2.7827134468,6.4414698826,9.0590781767,0.1212585034,0.1270933014,0.2222789116,0.2578231293,0.3277835588,0.3751786565,0.7260596546,0.8195520201,1.4421768708,1.7070083848,3.1378740039,3.5420074349,4.6564046179,5.9158478206,0.106122449,0.1212121212,0.2289962825,0.3090507726,0.4786324786,0.6571428571,0.6380352956,0.8351425677,1.4200680272,1.7022633089,2.1154109121,2.1896100317,6.1303780965,9.3986420951,0.0912270032,0.1116998425,0.2210884354,0.3287981859,0.2816901408,0.3125406954,0.800170068,0.9911504425,1.4747271683,1.5457721873,2.2607142857,2.9295918367,5.3775510204,8.5797746557,0.1333333333,0.1378254211,0.2151360544,0.2869047619,0.3796529735,0.3914373089,0.7455429498,0.9330893884,1.4547237659,1.7482993197,1.899001266,2.1854304636,4.8220973783,7.600922722,0.0840978593,0.1245738264,0.5236834363,0.6612244898,0.5163934426,0.6462585034,0.572519084,0.625415835,0.6700680272,0.8284023669,2.3714123331,2.8660968661,4.7458511638,5.7326850904,0.0292517007,0.1127649977,0.2075964939,0.237704918,0.4271476032,0.4940569956,1.1306122449,1.1540628874,0.9748172218,1.2744614373,2.2761904762,7.3567537103,19.9795918367,32.7871311885,42.7390503036
8,Mnich,0.1162959733,0.1580756014,0.2064220183,0.3619197482,0.6525376464,0.6827186833,0.6116838488,1.1814345992,1,1.1923688394,3.5804967801,3.8881688576,9.1855783309,17.5801282051,0.2263917526,0.2604264956,0.2023757149,0.2652284264,0.4254545455,0.6221804511,0.8923341947,1.158556701,0.731362286,0.9774802191,3.3204633205,3.7281910009,7.7740545716,15.0735036752,0.0491290755,0.1008095311,0.3127962085,0.3760523854,0.338066261,0.5759015935,0.8105802048,0.984081042,1.6786935055,1.6779479872,2.6819209791,5.6765940436,7.1610169492,12.0404559319,0.0644329897,0.1237113402,0.263637871,0.319276307,0.6481481481,0.8841237113,0.6926070039,1.0111340206,1.5370705244,1.8807621389,3.2751519906,4.8045360825,9.0862130388,16.7556701031,0.0751314801,0.1030927835,0.1446494465,0.2111514352,0.2734671731,0.4914963333,0.9405185562,2.1843298969,1.2730821198,1.5197183099,4.3094845361,4.7346451998,6.0836775005,10.0453608247,0.0623876494,0.0855397149,0.2807657247,0.4412309974,0.4778156997,0.5553874092,0.627046695,0.8896083873,1.6750250752,2.1858370856,2.8542435424,2.9376964319,8.0184174625,15.4490699734,0.0727713766,0.1391118245,0.2962886598,0.3726138032,0.3163618389,0.3880983182,0.5416666667,0.8397900525,2.003902439,2.0707732634,2.5513905683,2.6791682139,6.9678350516,10.9946524064,0.0796812749,0.11100148,0.2597938144,0.353814433,0.5150905433,0.6480412371,0.6898275431,1.3053016453,1.4115781126,2.5531958763,2.5743707094,2.8777251185,4.1440354054,11.5187415032,0.0975523235,0.1345227981,0.712,0.6589830508,0.4996034893,0.7183364839,0.74,0.8909952607,0.5389514944,1.0575257732,3.3895207149,3.9412340842,7.8329026701,9.4263674614,0.0108350188,0.1288659794,0.2356432187,0.2931661949,0.3839590444,0.7017900732,1.17,1.4313670674,0.88365243,1.229183188,1.570816565,12.5682007831,32.5369276219,54.1249312053,69.6879971716
9,Kapłan,0.0986436498,0.1151842949,0.1964,0.2708,0.3434778354,0.4882833787,0.4945543454,0.6351949876,0.8386666667,1,1.8869388151,2.826,6.7597333333,12.1948,0.1127268628,0.1942666667,0.1731710378,0.2123336381,0.3312,0.4854666667,0.6462075848,0.7845333333,0.6293365794,0.8129175947,1.8523076923,2.6841200582,5.7035822992,10.4122340426,0.0433070866,0.092,0.1793283339,0.2728,0.287918922,0.3941075187,0.661790317,0.7884057971,0.8419047619,1.2352478364,1.9074652285,3.4424242424,3.6720987654,11.2498666667,0.0469924812,0.0653096767,0.2497333333,0.2571520411,0.3525925926,0.6401333333,0.4702525626,0.5611409867,0.8337874659,1.088,2.3901333333,3.1530666667,6.6924691682,11.4726666667,0.0658183414,0.0765076508,0.1248248631,0.1752,0.2141764406,0.2624125292,0.4953588004,1.4106666667,0.9559237966,1.3078787879,2.3070970595,3.454,4.4620044778,6.6917333333,0.0552848576,0.0719671008,0.1594698146,0.3252,0.4176507147,0.4929333333,0.5327699918,0.6820330969,0.9106772821,1.6108,1.7188888889,2.1382666667,5.8922305764,10.6301803998,0.0551470588,0.0742857143,0.1487073896,0.2814666667,0.298,0.3522666667,0.4658454647,0.6794742164,1.043381083,1.4974666667,1.9992,2.51,3.5548060708,8.1999468227,0.0703252543,0.0798438609,0.2428,0.3197333333,0.3765333333,0.4416,0.4926811853,0.7933333333,1.0045146727,1.3252546087,1.3846153846,2.0966666667,3.4433765148,6.59,0.0564102564,0.1058259998,0.3875040819,0.60986322,0.3627778418,0.5881333333,0.4164654756,0.6344,0.4438666667,0.5881646861,1.6795813626,2.9174666667,5.3747044917,6.4730809978,0.0101832994,0.1038666667,0.1280106201,0.167204797,0.3080082136,0.4044074552,1.0846666667,0.8808602151,0.6810442679,0.8655349564,1.4775918916,8.5245330663,22.4217490881,37.3438389975,48.3860079779
